,date,content,coordinates,place
20,2022-04-12 21:21:06+00:00,HEAR US!!! HELP US!! https://t.co/E6NDZKtQ4c,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
21,2022-04-12 20:56:00+00:00,"Grabe Yung ulan kala ko Hindi na titigil
#prayforeasternvisayas","{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
22,2022-04-12 20:53:09+00:00,"We know too well that Biliranons,Leyteños and Samarnons are resilient but they need help too. 🙏 Pray for Eastern Visayas!","{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
23,2022-04-12 20:44:43+00:00,"The flood waters entered our residence past 12mn earlier. I was trying not to panic but it really gave me quite a scare since i was alone. 😵‍💫 thankfully, the it stopped raining around 2am so the water didn’t rise any higher than this. Baha is real talaga! https://t.co/2vHvkPsKS2","{'longitude': 124.8055272, 'latitude': 11.32366}","{'fullName': 'Babatngon, Eastern Visayas', 'name': 'Babatngon', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
24,2022-04-12 20:40:02+00:00,"HELP US !!!! 

#BaybayNeedsHelp #BaybayCityNeedsHelp 
#LeyteCallForHelp 
#LeyteNeedsHelp https://t.co/67O6Hcnn6p","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
25,2022-04-12 20:28:25+00:00,"you’re one of my sweetest friends &amp; dahil sa referral mo nakahanap ako ng tamang psychiatric help. also yung dinalan mo ako ng suman at cash noong nawalan kami ng kuryente permanently. deserve mo ‘yan!!! sana libre ang una kong notary sayo!

CONGRATULATIONS ATTY @herradude","{'longitude': 120.7638121, 'latitude': 14.7575264}","{'fullName': 'Malolos City, Central Luzon', 'name': 'Malolos City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
26,2022-04-12 20:19:24+00:00,AKALA KO MALI AKO NA CLIMATE CHANGE TALAGA REASON BAKIT TAG ULAN AGAD. SHET TAMA NGAAAAA https://t.co/VZFr6ugLKZ,"{'longitude': 120.9149568, 'latitude': 15.0484382}","{'fullName': 'San Miguel, Central Luzon', 'name': 'San Miguel', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
27,2022-04-12 19:20:57+00:00,"Several villages in the remote areas were washed out by landslide. Retrieval and rescue operations are still on-going and hundreds of missing and casualties are already reported.
#BaybayNeedsHelp
#BaybayCityNeedsHelp
#LeyteCallForHelp
#LeyteNeedsHelp

https://t.co/14Mc9EdwYC https://t.co/sCo4VqoaeT","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
28,2022-04-12 18:39:14+00:00,"Lawrd mapuli pa ko Iloilo, pahununga na ang bagyo abiiiii. Halong Panay!!!","{'longitude': 120.989705, 'latitude': 14.5893763}","{'fullName': 'Quezon City, National Capital Region', 'name': 'Quezon City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
29,2022-04-12 18:25:56+00:00,@kimalexiam Aw may bagyo dda? Sabot ko dd la proper,"{'longitude': 124.3562406, 'latitude': 12.0507766}","{'fullName': 'Calbayog City, Eastern Visayas', 'name': 'Calbayog City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
30,2022-04-12 18:23:17+00:00,Pasalamat padin buti baha walang galos na matindi,"{'longitude': 120.9266655, 'latitude': 14.6688067}","{'fullName': 'Valenzuela City, National Capital Region', 'name': 'Valenzuela City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
31,2022-04-12 18:23:05+00:00,Warning na gyud ning ulan ba... 🌧🌩,"{'longitude': 124.7223004, 'latitude': 9.1302113}","{'fullName': 'Mahinog, Northern Mindanao', 'name': 'Mahinog', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
